name,ages,location,id,desc,detail_url,total_open,age_max_year,age_max_month,age_max_week,age_min_year,age_description,days_of_week,time_range_landing_page,date_range_start,date_range_end,date_range,number,time_range
Gymnastics – Child,At least 4 but less than 6,Richcraft Rec Complex-Kanata,65065,"Beginner to intermediate recreational gymnastic skills are taught through the assistance of a coach on traditional equipment. Groups are divided according to age, ability and levels. Apparatus will include a minimum of four of the following:  balance beam, floor, mini-trampoline, bars, rings, vault.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-child/65065,8,6,0,0,4,"Age at least 4 yrs but less than 6 yrs,",Mon,4:00 PM - 4:45 PM,2024-01-08,2024-03-04,8 January 2024 to 4 March 2024,70467,4:00 PM - 4:45 PM
Gymnastics – Child,At least 6 but less than 8,Richcraft Rec Complex-Kanata,65067,"Beginner to intermediate recreational gymnastic skills are taught through the assistance of a coach on traditional equipment. Groups are divided according to age, ability and levels. Apparatus will include a minimum of four of the following:  balance beam, floor, mini-trampoline, bars, rings, vault.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-child/65067,8,8,0,0,6,"Age at least 6 yrs but less than 8 yrs,",Mon,4:45 PM - 5:45 PM,2024-01-08,2024-03-04,8 January 2024 to 4 March 2024,70469,4:45 PM - 5:45 PM
Gymnastics – Level 1 – Child,At least 6 but less than 10,Minto Rec Complex-Barrhaven,57800,"Beginner to novice gymnastic skills are taught through the assistance of a coach on traditional equipment. Groups are divided according to age, ability and levels. Apparatus  includes the following: balance beam, floor, mini-trampoline, parallel bars, rings, uneven bars, vault.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-level-1-child/57800,10,10,0,0,6,"Age at least 6 yrs but less than 10 yrs,",Sun,1:10 PM - 2:10 PM,2024-01-14,2024-03-10,14 January 2024 to 10 March 2024,63202,1:10 PM - 2:10 PM
Gymnastics – Level 1 – Child,At least 6 but less than 10,Minto Rec Complex-Barrhaven,57801,"Beginner to novice gymnastic skills are taught through the assistance of a coach on traditional equipment. Groups are divided according to age, ability and levels. Apparatus  includes the following: balance beam, floor, mini-trampoline, parallel bars, rings, uneven bars, vault.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-level-1-child/57801,10,10,0,0,6,"Age at least 6 yrs but less than 10 yrs,",Sun,1:10 PM - 2:10 PM,2024-01-14,2024-03-10,14 January 2024 to 10 March 2024,63203,1:10 PM - 2:10 PM
Gymnastics – Level 1 – Child,At least 6 but less than 10,Minto Rec Complex-Barrhaven,57802,"Beginner to novice gymnastic skills are taught through the assistance of a coach on traditional equipment. Groups are divided according to age, ability and levels. Apparatus  includes the following: balance beam, floor, mini-trampoline, parallel bars, rings, uneven bars, vault.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-level-1-child/57802,10,10,0,0,6,"Age at least 6 yrs but less than 10 yrs,",Sun,2:15 PM - 3:15 PM,2024-01-14,2024-03-10,14 January 2024 to 10 March 2024,63204,2:15 PM - 3:15 PM
Gymnastics – Level 1 – Child,At least 6 but less than 10,Minto Rec Complex-Barrhaven,57803,"Beginner to novice gymnastic skills are taught through the assistance of a coach on traditional equipment. Groups are divided according to age, ability and levels. Apparatus  includes the following: balance beam, floor, mini-trampoline, parallel bars, rings, uneven bars, vault.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-level-1-child/57803,10,10,0,0,6,"Age at least 6 yrs but less than 10 yrs,",Sun,2:15 PM - 3:15 PM,2024-01-14,2024-03-10,14 January 2024 to 10 March 2024,63205,2:15 PM - 3:15 PM
Gymnastics – Obstacle Challenge,At least 9 but less than 13,Minto Rec Complex-Barrhaven,57793,Climbing your walls? Hanging from your door jams? Challenge yourself on our gymnastics obstacle course.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-obstacle-challenge/57793,16,13,0,0,9,"Age at least 9 yrs but less than 13 yrs,",Sat,12:10 PM - 1:10 PM,2024-01-13,2024-03-09,13 January 2024 to 9 March 2024,63195,12:10 PM - 1:10 PM
Gymnastics – Obstacle Challenge,At least 9 but less than 13,Minto Rec Complex-Barrhaven,57794,Climbing your walls? Hanging from your door jams? Challenge yourself on our gymnastics obstacle course.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-obstacle-challenge/57794,16,13,0,0,9,"Age at least 9 yrs but less than 13 yrs,",Sat,1:15 PM - 2:15 PM,2024-01-13,2024-03-09,13 January 2024 to 9 March 2024,63196,1:15 PM - 2:15 PM
Gymnastics – Obstacle Challenge,At least 6 but less than 9,Minto Rec Complex-Barrhaven,57790,Climbing your walls? Hanging from your door jams? Challenge yourself on our gymnastics obstacle course.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-obstacle-challenge/57790,16,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,",Sat,10:00 AM - 11:00 AM,2024-01-13,2024-03-09,13 January 2024 to 9 March 2024,63192,10:00 AM - 11:00 AM
Gymnastics – Obstacle Challenge,At least 6 but less than 9,Minto Rec Complex-Barrhaven,57791,Climbing your walls? Hanging from your door jams? Challenge yourself on our gymnastics obstacle course.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-obstacle-challenge/57791,16,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,",Sat,11:05 AM - 12:05 PM,2024-01-13,2024-03-09,13 January 2024 to 9 March 2024,63193,11:05 AM - 12:05 PM
Gymnastics – Obstacle Challenge,At least 7 but less than 10,McNabb Rec Centre,58628,Climbing your walls? Hanging from your door jams? Challenge yourself on our gymnastics  obstacle course.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-obstacle-challenge/58628,25,10,0,0,7,"Age at least 7 yrs but less than 10 yrs,",Sat,1:30 PM - 2:30 PM,2024-01-20,2024-03-02,20 January 2024 to 2 March 2024,64030,1:30 PM - 2:30 PM
Gymnastics – Obstacle Challenge,At least 5 but less than 8,McNabb Rec Centre,58625,Climbing your walls? Hanging from your door jams? Challenge yourself on our gymnastics  obstacle course.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-obstacle-challenge/58625,25,8,0,0,5,"Age at least 5 yrs but less than 8 yrs,",Sat,12:30 PM - 1:30 PM,2024-01-20,2024-03-02,20 January 2024 to 2 March 2024,64027,12:30 PM - 1:30 PM
Gymnastics – Rhythmic – Child,At least 6 but less than 10,Bob MacQuarrie Rec Cplx - Orléans,66367,"Contains the dynamics and flexibility of gymnastics, the technical knowledge of ballet, and the self-expression and rhythm of modern dance. Choreographed to music and accompanied by colourful hoops, balls, ropes and ribbons.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-rhythmic-child/66367,10,10,0,0,6,"Age at least 6 yrs but less than 10 yrs,",Sun,1:30 PM - 2:30 PM,2024-01-21,2024-03-24,21 January 2024 to 24 March 2024,71769,1:30 PM - 2:30 PM
Gymnastics – Rhythmic – Child,At least 6 but less than 13,Overbrook Cmty Centre,64208,"<div>Contains the dynamics and flexibility of gymnastics, the technical knowledge of ballet, and the self-expression and rhythm of modern dance. Choreographed to music and accompanied by colourful hoops, balls, ropes and ribbons. </div><div><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""191"" style=""border-collapse:   collapse;width:143pt""><tbody><tr height=""19"" style=""height:14.5pt""><td height=""19"" class=""xl66"" width=""191"" style=""height: 14.5pt; width: 143pt; font-size: 11pt; font-family: Calibri, sans-serif;""><br></td></tr></tbody></table></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-rhythmic-child/64208,16,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,",Sun,3:45 PM - 4:45 PM,2024-01-14,2024-02-11,14 January 2024 to 11 February 2024,69610,3:45 PM - 4:45 PM
Gymnastics – Rhythmic – Child,At least 6 but less than 13,Overbrook Cmty Centre,64209,"<div>Contains the dynamics and flexibility of gymnastics, the technical knowledge of ballet, and the self-expression and rhythm of modern dance. Choreographed to music and accompanied by colourful hoops, balls, ropes and ribbons. </div><div><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""191"" style=""border-collapse:   collapse;width:143pt""><tbody><tr height=""19"" style=""height:14.5pt""><td height=""19"" class=""xl66"" width=""191"" style=""height: 14.5pt; width: 143pt; font-size: 11pt; font-family: Calibri, sans-serif;""><br></td></tr></tbody></table></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-rhythmic-child/64209,16,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,",Sun,3:45 PM - 4:45 PM,2024-02-25,2024-03-24,25 February 2024 to 24 March 2024,69611,3:45 PM - 4:45 PM
Gymnastics – Rhythmic – Child,At least 6 but less than 13,Overbrook Cmty Centre,64200,"<div>Contains the dynamics and flexibility of gymnastics, the technical knowledge of ballet, and the self-expression and rhythm of modern dance. Choreographed to music and accompanied by colourful hoops, balls, ropes and ribbons. </div><div><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""191"" style=""border-collapse:   collapse;width:143pt""><tbody><tr height=""19"" style=""height:14.5pt""><td height=""19"" class=""xl66"" width=""191"" style=""height: 14.5pt; width: 143pt; font-size: 11pt; font-family: Calibri, sans-serif;""><br></td></tr></tbody></table></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-rhythmic-child/64200,16,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,",Sat,3:00 PM - 4:00 PM,2024-02-24,2024-03-23,24 February 2024 to 23 March 2024,69602,3:00 PM - 4:00 PM
Gymnastics – Rhythmic – Child,At least 6 but less than 13,Overbrook Cmty Centre,64194,"<div>Contains the dynamics and flexibility of gymnastics, the technical knowledge of ballet, and the self-expression and rhythm of modern dance. Choreographed to music and accompanied by colourful hoops, balls, ropes and ribbons. </div><div><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""191"" style=""border-collapse:   collapse;width:143pt""><tbody><tr height=""19"" style=""height:14.5pt""><td height=""19"" class=""xl66"" width=""191"" style=""height: 14.5pt; width: 143pt; font-size: 11pt; font-family: Calibri, sans-serif;""><br></td></tr></tbody></table></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-rhythmic-child/64194,16,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,",Sat,3:00 PM - 4:00 PM,2024-01-13,2024-02-10,13 January 2024 to 10 February 2024,69596,3:00 PM - 4:00 PM
Gymnastics – Rhythmic – Level 2 - Child,At least 6 but less than 13,Overbrook Cmty Centre,64196,"<div>Contains the dynamics and flexibility of gymnastics, the technical knowledge of ballet, and the self-expression and rhythm of modern dance. Choreographed to music and accompanied by colourful hoops, balls, ropes and ribbons. </div><div><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""191"" style=""border-collapse:   collapse;width:143pt""><tbody><tr height=""19"" style=""height:14.5pt""><td height=""19"" class=""xl66"" width=""191"" style=""height: 14.5pt; width: 143pt; font-size: 11pt; font-family: Calibri, sans-serif;""><br></td></tr></tbody></table></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-rhythmic-level-2---child/64196,16,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,",Sat,4:00 PM - 5:00 PM,2024-01-13,2024-02-10,13 January 2024 to 10 February 2024,69598,4:00 PM - 5:00 PM
Gymnastics – Rhythmic – Level 2 - Child,At least 6 but less than 13,Overbrook Cmty Centre,64202,"<div>Contains the dynamics and flexibility of gymnastics, the technical knowledge of ballet, and the self-expression and rhythm of modern dance. Choreographed to music and accompanied by colourful hoops, balls, ropes and ribbons. </div><div><table border=""0"" cellpadding=""0"" cellspacing=""0"" width=""191"" style=""border-collapse:   collapse;width:143pt""><tbody><tr height=""19"" style=""height:14.5pt""><td height=""19"" class=""xl66"" width=""191"" style=""height: 14.5pt; width: 143pt; font-size: 11pt; font-family: Calibri, sans-serif;""><br></td></tr></tbody></table></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-rhythmic-level-2---child/64202,16,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,",Sat,4:00 PM - 5:00 PM,2024-02-24,2024-03-23,24 February 2024 to 23 March 2024,69604,4:00 PM - 5:00 PM
Gymnastics-Rhythmic - Child,At least 7 but less than 13,Chapman Mills Cmty Building,61586,"Contains the dynamics and flexibility of gymnastics, the technical knowledge of ballet, and the self-expression and rhythm of modern dance. Choreographed to music and accompanied by colourful hoops, balls, ropes and ribbons.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-rhythmic---child/61586,12,13,0,0,7,"Age at least 7 yrs but less than 13 yrs,",Sun,2:45 PM - 3:45 PM,2024-01-14,2024-02-25,14 January 2024 to 25 February 2024,66988,2:45 PM - 3:45 PM
Gymnastics-Rhythmic - Child,At least 5 but less than 8,Chapman Mills Cmty Building,61589,"Contains the dynamics and flexibility of gymnastics, the technical knowledge of ballet, and the self-expression and rhythm of modern dance. Choreographed to music and accompanied by colourful hoops, balls, ropes and ribbons.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-rhythmic---child/61589,10,8,0,0,5,"Age at least 5 yrs but less than 8 yrs,",Sun,1:30 PM - 2:30 PM,2024-01-14,2024-02-25,14 January 2024 to 25 February 2024,66991,1:30 PM - 2:30 PM
Gymnastics-Rhythmic - Child,At least 5 but less than 9,Rideauview Cmty Centre,60276,"Contains the dynamics and flexibility of gymnastics, the technical knowledge of ballet, and the self-expression and rhythm of modern dance. Choreographed to music and accompanied by colourful hoops, balls, ropes and ribbons.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-rhythmic---child/60276,10,9,0,0,5,"Age at least 5 yrs but less than 9 yrs,",Sat,Noon - 1:00 PM,2024-01-20,2024-03-09,20 January 2024 to 9 March 2024,65678,Noon - 1:00 PM
Gymnastics-Rhythmic - Child,At least 8 but less than 12,Rideauview Cmty Centre,60278,"Contains the dynamics and flexibility of gymnastics, the technical knowledge of ballet, and the self-expression and rhythm of modern dance. Choreographed to music and accompanied by colourful hoops, balls, ropes and ribbons.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-rhythmic---child/60278,10,12,0,0,8,"Age at least 8 yrs but less than 12 yrs,",Sat,1:00 PM - 2:00 PM,2024-01-20,2024-03-09,20 January 2024 to 9 March 2024,65680,1:00 PM - 2:00 PM
Gymnastics– Child,At least 6 but less than 10,Bob MacQuarrie Rec Cplx - Orléans,66365,"Beginner to intermediate recreational gymnastic skills are taught through the assistance of a coach on traditional equipment. Groups are divided according to age, ability and levels. Apparatus will include a minimum of four of the following:  balance beam, floor, mini-trampoline, bars, rings, vault.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastics-child/66365,10,10,0,0,6,"Age at least 6 yrs but less than 10 yrs,",Sun,11:30 AM - 12:30 PM,2024-01-21,2024-03-24,21 January 2024 to 24 March 2024,71767,11:30 AM - 12:30 PM
Gymnastique – Enfants,At least 6 but less than 10,Bob MacQuarrie Rec Cplx - Orléans,66363,"Les participants acquièrent des compétences en gymnastique récréative de niveau débutant ou intermédiaire sur les engins traditionnels avec l’aide d’un entraîneur. Les groupes sont  répartis en fonction de l’âge, des aptitudes et du niveau. Au moins quatre des engins suivants pourraient être proposés : poutre, sol, mini-trampoline, barres, anneaux et table de saut.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/gymnastique-enfants/66363,10,10,0,0,6,"Age at least 6 yrs but less than 10 yrs,",Sun,9:45 AM - 10:45 AM,2024-01-21,2024-03-24,21 January 2024 to 24 March 2024,71765,9:45 AM - 10:45 AM
Handbuilding – Child,At least 6 but less than 11,McNabb Rec Centre,58484,"Create sculptures and unique projects using traditional handbuilding techniques. Surface decorations, textures and glazing techniques will be introduced. Use your clay masterpiece at home.",https://ca.apm.activecommunities.com/ottawa/Activity_Search/handbuilding-child/58484,6,11,0,0,6,"Age at least 6 yrs but less than 11 yrs,",Sat,9:15 AM - 10:45 AM,2024-01-20,2024-03-02,20 January 2024 to 2 March 2024,63886,9:15 AM - 10:45 AM
Harry Potter Adventure,At least 6 but less than 13,Pat Clark Cmty Centre,69106,"<div>Let the sorting hat place you in a Hogwarts House, play the muggle version of Quidditch, take Hogwarts-inspired lessons like Potions, Transfiguration, Care of Magical Creatures and Dueling. You may even take part in a Tri-Wizard Tournament or Philosopher’s Stone Challenge. Includes a special guest or an out-trip.</div><div><br></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/harry-potter-adventure/69106,25,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,74513,8:00 AM - 5:00 PM
Harry Potter Adventure,At least 6 but less than 13,Pat Clark Cmty Centre,69207,"<div>Let the sorting hat place you in a Hogwarts House, play the muggle version of Quidditch, take Hogwarts-inspired lessons like Potions, Transfiguration, Care of Magical Creatures and Dueling. You may even take part in a Tri-Wizard Tournament or Philosopher’s Stone Challenge. Includes a special guest or an out-trip.</div><div><br></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/harry-potter-adventure/69207,25,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-19,2024-08-23,19 August 2024 to 23 August 2024,74614,8:00 AM - 5:00 PM
Hip Hop,At least 6 but less than 13,Walter Baker Sports Centre,81616,"<div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/81616,30,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,87023,8:00 AM - 5:00 PM
Hip Hop,At least 6 but less than 13,Walter Baker Sports Centre,81617,"<div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/81617,30,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,87024,8:00 AM - 5:00 PM
Hip Hop,At least 6 but less than 13,Walter Baker Sports Centre,81618,"<div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/81618,30,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-15,2024-07-19,15 July 2024 to 19 July 2024,87025,8:00 AM - 5:00 PM
Hip Hop,At least 6 but less than 13,Walter Baker Sports Centre,81619,"<div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/81619,30,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-22,2024-07-26,22 July 2024 to 26 July 2024,87026,8:00 AM - 5:00 PM
Hip Hop,At least 6 but less than 13,Walter Baker Sports Centre,81620,"<div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/81620,30,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-29,2024-08-02,29 July 2024 to 2 August 2024,87027,8:00 AM - 5:00 PM
Hip Hop,At least 6 but less than 13,Walter Baker Sports Centre,81628,"<div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/81628,30,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-12,2024-08-16,12 August 2024 to 16 August 2024,87035,8:00 AM - 5:00 PM
Hip Hop,At least 6 but less than 13,Walter Baker Sports Centre,81625,"<div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/81625,30,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-06,2024-08-09,6 August 2024 to 9 August 2024,87032,8:00 AM - 5:00 PM
Hip Hop,At least 6 but less than 13,Walter Baker Sports Centre,81630,"<div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/81630,30,13,0,0,6,"Age at least 6 yrs but less than 13 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-19,2024-08-23,19 August 2024 to 23 August 2024,87037,8:00 AM - 5:00 PM
Hip Hop,At least 6 but less than 9,Nepean Sportsplex,75621,"<div><div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/75621,24,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-19,2024-08-23,19 August 2024 to 23 August 2024,81028,8:00 AM - 5:00 PM
Hip Hop,At least 9 but less than 14,Nepean Sportsplex,75622,"<div><div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/75622,24,14,0,0,9,"Age at least 9 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-19,2024-08-23,19 August 2024 to 23 August 2024,81029,8:00 AM - 5:00 PM
Hip Hop,At least 6 but less than 9,Nepean Sportsplex,75612,"<div><div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/75612,24,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-22,2024-07-26,22 July 2024 to 26 July 2024,81019,8:00 AM - 5:00 PM
Hip Hop,At least 6 but less than 9,Nepean Sportsplex,75618,"<div><div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/75618,24,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-06,2024-08-09,6 August 2024 to 9 August 2024,81025,8:00 AM - 5:00 PM
Hip Hop,At least 9 but less than 14,Nepean Sportsplex,75619,"<div><div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/75619,24,14,0,0,9,"Age at least 9 yrs but less than 14 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-08-06,2024-08-09,6 August 2024 to 9 August 2024,81026,8:00 AM - 5:00 PM
Hip Hop,At least 9 but less than 14,Nepean Sportsplex,75616,"<div><div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/75616,24,14,0,0,9,"Age at least 9 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-22,2024-07-26,22 July 2024 to 26 July 2024,81023,8:00 AM - 5:00 PM
Hip Hop,At least 6 but less than 9,Nepean Sportsplex,75573,"<div><div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/75573,24,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,80980,8:00 AM - 5:00 PM
Hip Hop,At least 9 but less than 14,Nepean Sportsplex,75583,"<div><div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities each day.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop/75583,24,14,0,0,9,"Age at least 9 yrs but less than 14 yrs,","Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-02,2024-07-05,2 July 2024 to 5 July 2024,80990,8:00 AM - 5:00 PM
Hip Hop and Swim,At least 6 but less than 9,Nepean Sportsplex,78561,"<div><div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities including swimming throughout the week.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop-and-swim/78561,24,9,0,0,6,"Age at least 6 yrs but less than 9 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,83968,8:00 AM - 5:00 PM
Hip Hop and Swim,At least 9 but less than 14,Nepean Sportsplex,78562,"<div><div>Floating, gliding, popping, and locking - hip hop is full of high-energy moves. Performance on the last day. Camp activities including swimming throughout the week.</div></div>",https://ca.apm.activecommunities.com/ottawa/Activity_Search/hip-hop-and-swim/78562,24,14,0,0,9,"Age at least 9 yrs but less than 14 yrs,","Mon,Tue,Wed,Thu,Fri",8:00 AM - 5:00 PM,2024-07-08,2024-07-12,8 July 2024 to 12 July 2024,83969,8:00 AM - 5:00 PM
Hockey - 4 on 4 - Child,At least 6 but less than 10,Ray Friel Rec Cplx,65734,Develop and improve your hockey skills with this no body checking game. Freewheeling and high scoring with limited whistles and no face-offs or coaches. Full hockey equipment is mandatory.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/hockey---4-on-4---child/65734,24,10,0,0,6,"Age at least 6 yrs but less than 10 yrs,",Mon,4:00 PM - 4:50 PM,2024-01-08,2024-03-25,8 January 2024 to 25 March 2024,71136,4:00 PM - 4:50 PM
Hockey - 4 on 4 - Child,At least 9 but less than 13,Ray Friel Rec Cplx,65735,Develop and improve your hockey skills with this no body checking game. Freewheeling and high scoring with limited whistles and no face-offs or coaches. Full hockey equipment is mandatory.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/hockey---4-on-4---child/65735,24,13,0,0,9,"Age at least 9 yrs but less than 13 yrs,",Mon,5:00 PM - 5:50 PM,2024-01-08,2024-03-25,8 January 2024 to 25 March 2024,71137,5:00 PM - 5:50 PM
Hockey - 4 on 4 - Child - Goalie,At least 6 but less than 10,Ray Friel Rec Cplx,65736,Develop and improve your goalie skills with limited whistles and no face-offs or coaches. Full hockey equipment is mandatory.,https://ca.apm.activecommunities.com/ottawa/Activity_Search/hockey---4-on-4---child---goalie/65736,2,10,0,0,6,"Age at least 6 yrs but less than 10 yrs,",Mon,4:00 PM - 4:50 PM,2024-01-08,2024-03-25,8 January 2024 to 25 March 2024,71138,4:00 PM - 4:50 PM
